,MSEPred_all,MSECtrl_all,NormMSE_all,Pearson_all,NormPearson_all,Spearman_all,NormSpearman_all,PredCosine_all,CtrlCosine_all,NormCosine_all,SameDirect_all,DiffDirect_all,MSEPred_degs,MSECtrl_degs,NormMSE_degs,Pearson_degs,NormPearson_degs,Spearman_degs,NormSpearman_degs,PredCosine_degs,CtrlCosine_degs,NormCosine_degs,SameDirect_degs,DiffDirect_degs,cov_pert,covariate,perturbation,cov_seen,pert_seen,split
a549+IFNB_PARP12,0.033378363,0.0065611526,5.087271,0.99694777,0.3687299,0.785537416274806,0.3471576867566386,0.9973619260333308,0.9985779382554676,0.998782256070807,2290,1157,1.0565876960754395,1.6266875267028809,0.6495332717895508,,,,,,,,1.0,0.0,a549+IFNB_PARP12,a549+IFNB,PARP12,True,False,0
a549+IFNG_ATF3,0.038873658,0.0060365554,6.4397087,0.9880833,0.16173682,0.8151156156938459,0.20235201916935736,0.990829051412445,0.9986703950654469,0.9921482165770139,1970,1329,,,,,,,,,,,,,a549+IFNG_ATF3,a549+IFNG,ATF3,False,True,0
a549+IFNG_ATF5,0.039870307,0.010859599,3.6714344,0.9876685,0.2668153,0.8000028908477455,0.3078336017405367,0.9904461794084651,0.9978157978702138,0.9926142495664243,2098,1134,,,,,,,,,,,,,a549+IFNG_ATF5,a549+IFNG,ATF5,False,True,0
a549+IFNG_BATF2,0.039863147,0.005343186,7.4605575,0.98856354,0.21394813,0.8091131611392911,0.22221435806938533,0.9911480577381837,0.998789496080938,0.9923493004554634,1989,1297,,,,,,,,,,,,,a549+IFNG_BATF2,a549+IFNG,BATF2,False,True,0
a549+IFNG_CEBPB,0.043280456,0.020390501,2.1225793,0.9861287,0.27180082,0.7981778388639222,0.30749038259001954,0.9892082918594599,0.9957900351813497,0.993390430623569,2115,1101,0.18678724765777588,0.34647706151008606,0.5391042232513428,0.757108211517334,0.09967053681612015,0.7369230769230769,0.09461538461538462,0.9252192466420172,0.9621258287069903,0.9616405869546479,20.0,5.0,a549+IFNG_CEBPB,a549+IFNG,CEBPB,False,True,0
a549+IFNG_CEBPE,0.04105319,0.009158959,4.482299,0.98745257,0.2138476,0.8019292223927662,0.27851632217830974,0.9902850792366326,0.9981194784099054,0.9921508403124706,2080,1154,,,,,,,,,,,,,a549+IFNG_CEBPE,a549+IFNG,CEBPE,False,True,0
a549+IFNG_CLK1,0.086670585,0.14761528,0.5871383,0.9723384,0.5460498,0.770263032532491,0.5572372043662337,0.9774667726014554,0.9796629474400674,0.9977582342535759,2380,699,0.6292715668678284,0.9058020710945129,0.6947119832038879,0.6468573212623596,-0.15293124318122864,0.6228120907669353,-0.2230769230769231,0.9104176452679662,0.9553057070897908,0.9530118353855856,19.0,6.0,a549+IFNG_CLK1,a549+IFNG,CLK1,False,True,0
a549+IFNG_CUL1,0.072085336,0.020190377,3.5702817,0.983557,0.35979527,0.7168445890163437,0.33902351686906207,0.986732356829308,0.9957425808231827,0.9909512516915507,2139,1132,0.5139945149421692,0.6842995882034302,0.7511249780654907,0.8116319179534912,0.6532928347587585,0.4681318681318682,0.5472527472527472,0.9026841289473423,0.850674623721505,1.0611391286110166,9.0,5.0,a549+IFNG_CUL1,a549+IFNG,CUL1,False,True,0
a549+IFNG_EHF,0.041122187,0.015518599,2.6498647,0.9867572,0.20801587,0.8173512196646191,0.2431785942797415,0.9897141508172718,0.9969572138108272,0.9927348306494828,1982,1230,,,,,,,,,,,,,a549+IFNG_EHF,a549+IFNG,EHF,False,True,0
a549+IFNG_ETV7,0.036672905,0.0047678854,7.69165,0.9888755,0.20488128,0.8219024351375585,0.2008437739336593,0.991454895841046,0.9989220982391985,0.9925247400059374,1944,1340,0.07095757871866226,0.43956470489501953,0.16142693161964417,,,,,,,,1.0,0.0,a549+IFNG_ETV7,a549+IFNG,ETV7,False,True,0
