,MSEPred_all,MSECtrl_all,NormMSE_all,Pearson_all,NormPearson_all,Spearman_all,NormSpearman_all,PredCosine_all,CtrlCosine_all,NormCosine_all,SameDirect_all,DiffDirect_all,MSEPred_degs,MSECtrl_degs,NormMSE_degs,Pearson_degs,NormPearson_degs,Spearman_degs,NormSpearman_degs,PredCosine_degs,CtrlCosine_degs,NormCosine_degs,SameDirect_degs,DiffDirect_degs,cov_pert,covariate,perturbation,cov_seen,pert_seen,split
a549+IFNB_PARP12,0.055927757,0.38963637,0.14353834,0.9894647,0.9396819,0.7359781515174472,0.8157796831977996,0.9915646896796776,0.9054856030010434,1.095064003660956,3465,818,0.8161163926124573,0.13983164727687836,5.836421012878418,,,,,,,,0.0,1.0,a549+IFNB_PARP12,a549+IFNB,PARP12,True,False,0
a549+IFNG_ATF3,0.40212277,0.37834975,1.0628334,0.86687136,-0.009967912,0.7945657814151754,0.020532825686311398,0.8991517930855508,0.9055899292645883,0.9928906716263224,2144,1995,,,,,,,,,,,,,a549+IFNG_ATF3,a549+IFNG,ATF3,False,True,0
a549+IFNG_ATF5,0.40586975,0.37881568,1.0714175,0.862287,-0.020816907,0.7841453818872564,0.0480535260742986,0.894832889387295,0.902189447372282,0.9918458833602923,2234,1894,,,,,,,,,,,,,a549+IFNG_ATF5,a549+IFNG,ATF5,False,True,0
a549+IFNG_BATF2,0.39777252,0.37890044,1.0498075,0.8699188,0.034785565,0.8058791215581996,0.05135913185453471,0.9016058155710391,0.9064374480337939,0.9946696460155796,2212,1917,,,,,,,,,,,,,a549+IFNG_BATF2,a549+IFNG,BATF2,False,True,0
a549+IFNG_CEBPB,0.39652336,0.3733034,1.0622013,0.8638962,-0.0065246643,0.7826573668003929,0.08515067871854344,0.8955299955530022,0.9018896405432172,0.9929485330529082,2274,1840,0.4291890859603882,0.49580180644989014,0.865646481513977,0.04328464716672897,0.3319646716117859,0.13846153846153847,0.18769230769230769,0.6141298226263461,0.6151982740653326,0.998263240512809,14.0,11.0,a549+IFNG_CEBPB,a549+IFNG,CEBPB,False,True,0
a549+IFNG_CEBPE,0.40661228,0.37674636,1.0792732,0.8633884,-0.020808483,0.7866531558390651,0.06527358063513367,0.895808931930266,0.9036404001270509,0.9913334240083955,2278,1838,,,,,,,,,,,,,a549+IFNG_CEBPE,a549+IFNG,CEBPE,False,True,0
a549+IFNG_CLK1,0.3522881,0.3805197,0.92580783,0.8420421,0.20138913,0.7325738532058085,0.31388223068341614,0.874322068169691,0.8794117403001471,0.994212412801404,2682,1362,1.368841290473938,1.6935871839523315,0.8082496523857117,0.23919901251792908,0.28008949756622314,0.27466821050499807,0.27999999999999997,0.6928718337089963,0.7457938357272161,0.9290393678748817,17.0,8.0,a549+IFNG_CLK1,a549+IFNG,CLK1,False,True,0
a549+IFNG_CUL1,0.43486163,0.36425987,1.1938225,0.85714734,-0.082048625,0.744441763932763,0.12633736965578238,0.8903707663533924,0.9049914976736011,0.9838443439990395,2444,1695,0.9489811658859253,0.7846919894218445,1.2093677520751953,0.7180068492889404,0.46820124983787537,0.26593406593406593,0.2175824175824176,0.8073680618217483,0.8268344116248973,0.9764567735335377,3.0,11.0,a549+IFNG_CUL1,a549+IFNG,CUL1,False,True,0
a549+IFNG_EHF,0.3958429,0.3675698,1.076919,0.86384857,-0.027527258,0.7670970104927289,0.04256788984602999,0.8956447624305788,0.9035033001857437,0.9913021482560724,2212,1898,,,,,,,,,,,,,a549+IFNG_EHF,a549+IFNG,EHF,False,True,0
a549+IFNG_ETV7,0.41102988,0.38101158,1.0787858,0.8652686,-0.041548144,0.7933814026371441,0.0207751246289677,0.8980200898547572,0.9059312545061337,0.9912673675711859,2184,1962,0.10510585457086563,0.0025910267140716314,40.565330505371094,,,,,,,,1.0,0.0,a549+IFNG_ETV7,a549+IFNG,ETV7,False,True,0
