,MSE_TranScouter,DC_TranScouter,MSE_Ctrl,MSE_PertAvg,DC_PertAvg,n_up,n_down,split,condition
a549+IFNG_PPARG,0.53640383,0.8,0.71938217,1.047198141956198,0.6,0,25,0,a549+IFNG
a549+IFNG_PTGES3,0.253004,0.88,0.4927611,0.5161413020914161,0.72,0,25,0,a549+IFNG
a549+IFNG_ZFP36,0.35140193,0.6666666666666666,0.3333232,0.5239660884340344,0.6666666666666666,0,3,0,a549+IFNG
bxpc3+TGFB_MAPK14,0.90835786,0.5,0.90143937,0.3193408525986958,0.75,2,2,0,bxpc3+TGFB
bxpc3+TGFB_MED15,0.29837772,0.64,0.33541295,0.3634820867319189,0.68,0,25,0,bxpc3+TGFB
bxpc3+TGFB_RUNX3,0.38501102,0.5,0.6020518,2.0407671273478853,0.0,0,2,0,bxpc3+TGFB
hap1+INS_MTOR,0.10461506,0.8,0.13492924,1.0948150707120614,0.4,0,25,0,hap1+INS
hap1+INS_POLR2L,0.048712645,0.96,0.19554521,1.3675524230564111,0.48,0,25,0,hap1+INS
hap1+INS_TSC2,0.6325706,0.3333333333333333,0.2881326,0.5420303330309523,0.3333333333333333,4,5,0,hap1+INS
hap1+INS_ZNF593,0.0016227652,1.0,0.017650917,0.13622796068075818,0.5714285714285714,0,7,0,hap1+INS
hap1+TGFB_KRAS,0.0047153044,1.0,0.20463903,0.10610509231308489,0.5,0,2,0,hap1+TGFB
hap1+TGFB_MED15,0.027005343,0.92,0.21014658,0.8580150580460965,0.6,0,25,0,hap1+TGFB
hap1+TGFB_RUNX3,0.2911257,1.0,0.8026582,0.08508943021415574,1.0,0,1,0,hap1+TGFB
k562+TNFA_CSF1,0.03135902,0.84,0.030512087,0.44704601705316144,0.68,0,25,0,k562+TNFA
k562+TNFA_IKBKG,0.052330445,0.88,0.09416214,0.48665383527412986,0.68,0,25,0,k562+TNFA
k562+TNFA_MAPK14,0.06609361,0.64,0.071526974,0.4133031454593422,0.64,0,25,0,k562+TNFA
k562+TNFA_MTOR,0.24926473,0.4,0.21747085,1.9156662689450803,0.36,0,25,0,k562+TNFA
k562+TNFA_TRAF1,0.037693046,0.68,0.06292796,1.2111592683954706,0.36,0,25,0,k562+TNFA
k562+TNFA_TRAF2,0.10629089,0.64,0.12955266,0.9474183236868113,0.6,1,24,0,k562+TNFA
mcf7+INS_MTOR,0.0794031,0.75,0.1749382,0.3136735075590504,0.625,0,8,0,mcf7+INS
mcf7+INS_POLR2L,0.17549168,0.96,0.48177573,1.5805332917562331,0.44,0,25,0,mcf7+INS
mcf7+INS_TSC2,0.040420033,0.7142857142857143,0.16499673,0.25201526220288095,0.5714285714285714,0,7,0,mcf7+INS
mcf7+INS_ZNF593,0.011068557,1.0,0.44318146,0.1915765613298579,0.5,0,2,0,mcf7+INS
a549+INS_COPS4,0.29969352,0.88,0.27353618,0.6761266007011436,0.56,0,25,1,a549+INS
a549+INS_DR1,0.1979994,0.8,0.28903767,0.9111525838215959,0.64,1,24,1,a549+INS
a549+INS_FOXM1,0.07282297,1.0,0.19776598,1.053573000347788,0.5,0,2,1,a549+INS
a549+INS_PIK3CA,0.014409301,1.0,0.19888328,0.46754225012231654,0.6666666666666666,0,3,1,a549+INS
a549+INS_POLR2L,0.14333597,0.96,0.13794257,0.5988936577608058,0.64,0,25,1,a549+INS
a549+TNFA_BIRC3,0.64448863,1.0,0.9984473,1.1934965545734233,1.0,0,2,1,a549+TNFA
