,MSEPred_all,MSECtrl_all,NormMSE_all,Pearson_all,NormPearson_all,Spearman_all,NormSpearman_all,PredCosine_all,CtrlCosine_all,NormCosine_all,SameDirect_all,DiffDirect_all,MSEPred_degs,MSECtrl_degs,NormMSE_degs,Pearson_degs,NormPearson_degs,Spearman_degs,NormSpearman_degs,PredCosine_degs,CtrlCosine_degs,NormCosine_degs,SameDirect_degs,DiffDirect_degs,cov_pert,covariate,perturbation,cov_seen,pert_seen,split
a549+IFNB_BRD9,0.006408896,0.0054325303,1.1797258,0.99853593,0.56409967,0.8766389533298589,0.4490854737955618,0.9988195308617445,0.9988308089865716,0.9999887086734554,2380,1077,,,,,,,,,,,,,a549+IFNB_BRD9,a549+IFNB,BRD9,True,False,0
a549+IFNB_ETS1,0.0049770516,0.006631622,0.7505029,0.99873096,0.5687078,0.8907364583523366,0.45289690199658494,0.9990238088324706,0.9986003550899855,1.0004240472580714,2380,1052,,,,,,,,,,,,,a549+IFNB_ETS1,a549+IFNB,ETS1,True,False,0
a549+IFNB_MAPK14,0.0058224862,0.008519141,0.6834593,0.99825066,0.5447297,0.8887516402919343,0.4257450454744776,0.9986469449550434,0.9981542739177975,1.0004935820545175,2283,1135,0.09729280322790146,0.22298957407474518,0.4363110065460205,0.999900221824646,0.9974302053451538,1.0,1.0,0.96629310423166,0.9659210863208751,1.0003851431716868,3.0,0.0,a549+IFNB_MAPK14,a549+IFNB,MAPK14,True,False,0
a549+IFNG_ATF3,0.04030218,0.0060365554,6.676354,0.98818403,0.14603992,0.8244817666301145,0.21120184446174753,0.9909449942209946,0.9986703950654469,0.9922643137489362,1988,1311,,,,,,,,,,,,,a549+IFNG_ATF3,a549+IFNG,ATF3,False,True,0
a549+IFNG_ATF5,0.04380648,0.010859599,4.0338945,0.98758304,0.29021466,0.7977838521591978,0.33321229573269556,0.9903922364136251,0.9978156887406481,0.9925602970460484,2159,1073,,,,,,,,,,,,,a549+IFNG_ATF5,a549+IFNG,ATF5,False,True,0
a549+IFNG_BATF2,0.040019438,0.005343186,7.4898076,0.988821,0.19003737,0.8259740050062644,0.21833076633068674,0.9914342154745966,0.9987895524890712,0.9926357489461675,1981,1305,,,,,,,,,,,,,a549+IFNG_BATF2,a549+IFNG,BATF2,False,True,0
a549+IFNG_CEBPB,0.046465266,0.020390501,2.2787702,0.98620576,0.31105518,0.7937872803080082,0.340177605804515,0.989267127650594,0.9957899041693267,0.9934496458626241,2156,1060,0.18832294642925262,0.34647706151008606,0.5435365438461304,0.7588902115821838,0.07369395345449448,0.7384615384615385,-0.04384615384615385,0.9251596724759603,0.9621258287069903,0.9615786676460925,21.0,4.0,a549+IFNG_CEBPB,a549+IFNG,CEBPB,False,True,0
a549+IFNG_CEBPE,0.043392323,0.009158959,4.737692,0.9874211,0.21573882,0.8059515927157485,0.29045417028382187,0.990282005326149,0.9981193494895927,0.9921478887595442,2101,1133,,,,,,,,,,,,,a549+IFNG_CEBPE,a549+IFNG,CEBPE,False,True,0
a549+IFNG_CLK1,0.060358692,0.14761528,0.4088919,0.9741755,0.69763637,0.7142048588642589,0.6763264817013608,0.9791529570602046,0.9796628961929545,0.9994794748941379,2577,502,0.40028610825538635,0.9058020710945129,0.4419134259223938,0.553957998752594,0.05345332622528076,0.518945960744037,0.027692307692307697,0.8784202804928551,0.9553057070897908,0.9195174633352117,22.0,3.0,a549+IFNG_CLK1,a549+IFNG,CLK1,False,True,0
a549+IFNG_CUL1,0.10122421,0.020190377,5.013488,0.9793105,0.36908203,0.6550894345156404,0.3488364706990913,0.9823056809111971,0.9957424870527958,0.9865057418797414,2137,1134,0.5901642441749573,0.6842995882034302,0.8624354600906372,0.8130510449409485,0.6574077010154724,0.46373626373626364,0.48571428571428577,0.8930810936589018,0.850674658749914,1.0498503563880754,6.0,8.0,a549+IFNG_CUL1,a549+IFNG,CUL1,False,True,0
a549+IFNG_EHF,0.0473539,0.015518599,3.0514288,0.9862479,0.29462528,0.7901728379350819,0.3366751735152289,0.9893190039579176,0.996957082785248,0.992338608191647,2155,1057,,,,,,,,,,,,,a549+IFNG_EHF,a549+IFNG,EHF,False,True,0
