scenario,cov_pert,covariate,perturbation,celltype,treatment,n_train_covs,avg_delta_sign_match,clipped_delta_sign_match,mean_pair_sign_match,mean_pair_corr,TranScouter_DMR,DeltaAverage_DMR,TranScouter_MSE,DeltaAverage_MSE,delta_dmr_advantage,trans_dmr_advantage,trans_mse_advantage,delta_dmr_better,trans_dmr_better,delta_mse_better,trans_mse_better
McFaline Seen Perturbation,a172+lapatinib_AAK1,a172+lapatinib,AAK1,A172,lapatinib,7,0.7,0.7,0.55,0.39142116357350226,0.55,0.3,0.9122978015979969,0.26662174159623747,0.25000000000000006,-0.25000000000000006,-0.6456760600017595,True,False,True,False
McFaline Seen Perturbation,a172+lapatinib_AATK,a172+lapatinib,AATK,A172,lapatinib,11,0.55,0.55,0.5227272727272727,0.09142910942659542,0.5,0.45,0.16297856619944953,0.10990336372062952,0.04999999999999999,-0.04999999999999999,-0.05307520247882001,True,False,True,False
McFaline Seen Perturbation,a172+lapatinib_ABL1,a172+lapatinib,ABL1,A172,lapatinib,7,0.5,0.5,0.5428571428571429,-0.01445679401379101,0.75,0.5,0.5719041995805435,0.28279473173554537,0.25,-0.25,-0.28910946784499814,True,False,True,False
McFaline Seen Perturbation,a172+lapatinib_ABL2,a172+lapatinib,ABL2,A172,lapatinib,12,0.5,0.5,0.5125000000000001,0.10465595798296796,0.35,0.5,0.10514683358331844,0.10563946445901866,-0.15000000000000002,0.15000000000000002,0.0004926308757002146,False,True,False,True
McFaline Seen Perturbation,a172+lapatinib_ACVR1,a172+lapatinib,ACVR1,A172,lapatinib,9,0.55,0.55,0.4833333333333334,-0.015773195860078398,0.4,0.45,0.17969538165721813,0.15916225635806094,-0.04999999999999999,0.04999999999999999,-0.020533125299157184,False,True,True,False
McFaline Seen Perturbation,a172+lapatinib_ACVR1B,a172+lapatinib,ACVR1B,A172,lapatinib,7,0.5,0.5,0.4928571428571429,-0.0707131091630028,0.7,0.5,0.4198628185179448,0.27594958239502304,0.19999999999999996,-0.19999999999999996,-0.14391323612292178,True,False,True,False
McFaline Seen Perturbation,a172+lapatinib_ACVR1C,a172+lapatinib,ACVR1C,A172,lapatinib,7,0.6,0.6,0.4785714285714286,0.029315963086340085,0.4,0.4,0.1895004068534383,0.16700451177138256,0.0,0.0,-0.02249589508205574,False,False,True,False
McFaline Seen Perturbation,a172+lapatinib_ACVR2B,a172+lapatinib,ACVR2B,A172,lapatinib,9,0.6,0.6,0.4666666666666667,-0.018652604819128574,0.15,0.4,0.228939369627228,0.20165362016929986,-0.25,0.25,-0.027285749457928138,False,True,True,False
McFaline Seen Perturbation,a172+lapatinib_ACVRL1,a172+lapatinib,ACVRL1,A172,lapatinib,11,0.65,0.65,0.5681818181818182,0.11187160041310582,0.45,0.35,0.37282900028822863,0.16917549550688935,0.10000000000000003,-0.10000000000000003,-0.20365350478133928,True,False,True,False
McFaline Seen Perturbation,a172+lapatinib_ADCK1,a172+lapatinib,ADCK1,A172,lapatinib,9,0.3,0.3,0.49444444444444446,0.05612696185036273,0.6,0.7,0.2686191940301726,0.15770735687285517,-0.09999999999999998,0.09999999999999998,-0.11091183715731742,False,True,True,False
