scenario,cov_pert,covariate,perturbation,celltype,treatment,n_train_covs,avg_delta_sign_match,clipped_delta_sign_match,mean_pair_sign_match,mean_pair_corr,TranScouter_DMR,DeltaAverage_DMR,delta_advantage,delta_better
Jiang24 Seen Perturbation,a549+IFNB_BATF2,a549+IFNB,BATF2,A549,IFNB,10,1.0,1.0,0.7,,0.0,0.0,0.0,False
Jiang24 Seen Perturbation,a549+IFNB_CEBPB,a549+IFNB,CEBPB,A549,IFNB,15,1.0,1.0,0.7066666666666667,0.07408131015740659,0.0,0.0,0.0,False
Jiang24 Seen Perturbation,a549+IFNB_DRAP1,a549+IFNB,DRAP1,A549,IFNB,4,0.75,0.75,0.5625,0.07849919856527507,0.25,0.25,0.0,False
Jiang24 Seen Perturbation,a549+IFNB_ETS2,a549+IFNB,ETS2,A549,IFNB,4,0.8571428571428571,0.8571428571428571,0.5357142857142857,0.16934265356526226,0.42857142857142855,0.14285714285714285,0.2857142857142857,True
Jiang24 Seen Perturbation,a549+IFNB_HERC5,a549+IFNB,HERC5,A549,IFNB,4,1.0,1.0,0.8125,0.7891850917688648,0.25,0.0,0.25,True
Jiang24 Seen Perturbation,a549+IFNB_HERC6,a549+IFNB,HERC6,A549,IFNB,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.9815288360049493,0.0,0.3333333333333333,-0.3333333333333333,False
Jiang24 Seen Perturbation,a549+IFNB_HES4,a549+IFNB,HES4,A549,IFNB,4,1.0,1.0,0.75,,0.0,0.0,0.0,False
Jiang24 Seen Perturbation,a549+IFNB_ID1,a549+IFNB,ID1,A549,IFNB,4,0.92,0.92,0.78,0.20870032135371874,0.08,0.08,0.0,False
Jiang24 Seen Perturbation,a549+IFNB_IFI16,a549+IFNB,IFI16,A549,IFNB,10,1.0,1.0,0.908,0.5211926072342902,0.0,0.0,0.0,False
Jiang24 Seen Perturbation,a549+IFNB_IFNAR1,a549+IFNB,IFNAR1,A549,IFNB,4,0.85,0.85,0.6375,0.10049844391356046,0.05,0.15,-0.09999999999999999,False
Jiang24 Seen Perturbation,a549+IFNB_IFNAR2,a549+IFNB,IFNAR2,A549,IFNB,4,0.68,0.68,0.77,0.39388587721776547,0.0,0.32,-0.32,False
