,MSEPred_all,MSECtrl_all,NormMSE_all,Pearson_all,NormPearson_all,Spearman_all,NormSpearman_all,PredCosine_all,CtrlCosine_all,NormCosine_all,SameDirect_all,DiffDirect_all,MSEPred_degs,MSECtrl_degs,NormMSE_degs,Pearson_degs,NormPearson_degs,Spearman_degs,NormSpearman_degs,PredCosine_degs,CtrlCosine_degs,NormCosine_degs,SameDirect_degs,DiffDirect_degs,cov_pert,covariate,perturbation,cov_seen,pert_seen,split
a549+IFNB_PARP12,0.01576871,0.0065611526,2.4033446,0.99646634,0.44684923,0.7703771217034602,0.3976360876504282,0.9971891079001641,0.9985778712132973,0.9986092588738765,2349,1098,1.1666202545166016,1.6266875267028809,0.7171753644943237,,,,,,,,1.0,0.0,a549+IFNB_PARP12,a549+IFNB,PARP12,True,False,0
a549+IFNG_ATF3,0.040125307,0.0060365554,6.6470537,0.98748773,0.10515441,0.8075698204152378,0.1711604211111118,0.9904003317401621,0.9986703950654469,0.9917189261180184,1887,1412,,,,,,,,,,,,,a549+IFNG_ATF3,a549+IFNG,ATF3,False,True,0
a549+IFNG_ATF5,0.040767986,0.010859599,3.7540967,0.9870266,0.19588774,0.7948515406440497,0.2593753858465307,0.989951829608572,0.9978156887406481,0.9921189261495766,1988,1244,,,,,,,,,,,,,a549+IFNG_ATF5,a549+IFNG,ATF5,False,True,0
a549+IFNG_BATF2,0.037831713,0.005343186,7.0803657,0.9882769,0.17807363,0.8027613397032846,0.20310601100605483,0.9910270250676804,0.9987895524890712,0.992228065059305,1924,1362,,,,,,,,,,,,,a549+IFNG_BATF2,a549+IFNG,BATF2,False,True,0
a549+IFNG_CEBPB,0.04495024,0.020390501,2.2044697,0.9855497,0.24666202,0.7883708643960513,0.3057193634807961,0.9887386009183373,0.9957899041693267,0.9929188845744812,2103,1113,0.20059004426002502,0.34647706151008606,0.5789417624473572,0.7336969375610352,0.07573995739221573,0.7392307692307692,0.01769230769230769,0.9186201121619254,0.9621258287069903,0.954781676941848,21.0,4.0,a549+IFNG_CEBPB,a549+IFNG,CEBPB,False,True,0
a549+IFNG_CEBPE,0.04148198,0.009158959,4.529115,0.98684174,0.16055307,0.792927688260977,0.24266760174782065,0.9898468558835577,0.9981193494895927,0.9917119194109749,1973,1261,,,,,,,,,,,,,a549+IFNG_CEBPE,a549+IFNG,CEBPE,False,True,0
a549+IFNG_CLK1,0.07914114,0.14761528,0.5361311,0.9733368,0.5914402,0.7232332995323745,0.593741759550398,0.9784252006319034,0.9796628961929545,0.9987366107608434,2424,655,0.5155310034751892,0.9058020710945129,0.5691431164741516,0.6317320466041565,-0.1538093090057373,0.5916522517600659,-0.18461538461538463,0.8954968318027371,0.9553057070897908,0.9373929467361256,21.0,4.0,a549+IFNG_CLK1,a549+IFNG,CLK1,False,True,0
a549+IFNG_CUL1,0.07274442,0.020190377,3.6029253,0.98089015,0.353208,0.6750154972967245,0.3312668582906503,0.9843895470068619,0.9957424870527958,0.9885985179968202,2127,1144,0.4970712959766388,0.6842995882034302,0.7263942360877991,0.8413997888565063,0.7169378995895386,0.7054945054945055,0.6571428571428571,0.9129304253825833,0.850674658749914,1.073183991073809,9.0,5.0,a549+IFNG_CUL1,a549+IFNG,CUL1,False,True,0
a549+IFNG_EHF,0.044103548,0.015518599,2.84198,0.98591673,0.18275037,0.8019830757802194,0.2557090685201273,0.9890161378657207,0.996957082785248,0.9920348176901034,1978,1234,,,,,,,,,,,,,a549+IFNG_EHF,a549+IFNG,EHF,False,True,0
a549+IFNG_ETV7,0.037335932,0.0047678854,7.830711,0.98845124,0.18532436,0.8053877876292379,0.2078617900106133,0.9911602179188161,0.9989221896358685,0.992229653322766,1945,1339,0.12407341599464417,0.43956470489501953,0.2822642922401428,,,,,,,,1.0,0.0,a549+IFNG_ETV7,a549+IFNG,ETV7,False,True,0
a549+IFNG_FBXO6,0.04033009,0.010157838,3.9703417,0.9873178,0.25465003,0.7780877218114026,0.26764221645285763,0.9902047767153308,0.9978587429454469,0.9923296094920977,2028,1196,,,,,,,,,,,,,a549+IFNG_FBXO6,a549+IFNG,FBXO6,False,True,0
a549+IFNG_FMNL2,0.04155993,0.011753165,3.536063,0.9867565,0.22265519,0.7806124074808563,0.26542505671137134,0.9897466709385351,0.9975988382133023,0.9921289330199798,2003,1219,,,,,,,,,,,,,a549+IFNG_FMNL2,a549+IFNG,FMNL2,False,True,0
a549+IFNG_FOXN3,0.043828465,0.004525032,9.685781,0.98710805,0.12782319,0.7749417949283597,0.16989386272399035,0.9900827589524775,0.9989672735013292,0.991106300692202,1951,1362,,,,,,,,,,,,,a549+IFNG_FOXN3,a549+IFNG,FOXN3,False,False,0
a549+IFNG_GUK1,0.038655896,0.005338846,7.2404966,0.9881021,0.20498614,0.7894554254534745,0.20799832894576617,0.9908917269678515,0.998801861915086,0.9920803762499324,1979,1325,,,,,,,,,,,,,a549+IFNG_GUK1,a549+IFNG,GUK1,False,True,0
a549+IFNG_HLA-DQB1,0.044184092,0.014686876,3.0084064,0.98595,0.16882634,0.7957755808481073,0.22487340589910093,0.9890458493335907,0.9970590422129642,0.991963171146226,1909,1309,0.09828199446201324,0.306059330701828,0.3211207389831543,-0.43246394395828247,0.39854395389556885,-0.3,0.7,0.8302744395186372,0.9903124589964659,0.8383964394025666,5.0,0.0,a549+IFNG_HLA-DQB1,a549+IFNG,HLA-DQB1,False,True,0
a549+IFNG_HLX,0.059650343,0.07568191,0.78817177,0.9788387,0.47976112,0.7407120044062309,0.5229470631853982,0.9830465779535015,0.9870217090264923,0.9959726001600192,2399,707,0.3350652754306793,0.6169131994247437,0.543131947517395,0.5163447260856628,0.2563839554786682,0.5584135499119502,0.29615384615384616,0.8204374869223662,0.9187478819999116,0.8929952416722361,21.0,4.0,a549+IFNG_HLX,a549+IFNG,HLX,False,True,0
a549+IFNG_IFI16,0.09890936,0.2048523,0.48283258,0.9635198,0.6267276,0.7284294130046359,0.656712586139995,0.9699938976456297,0.968742603711167,1.0012916681166588,2442,436,0.7468563318252563,1.390175461769104,0.5372388958930969,0.47946426272392273,-0.1485917866230011,0.38972441732266383,-0.16461538461538464,0.8076389153886023,0.8055821701393014,1.0025531166472381,22.0,3.0,a549+IFNG_IFI16,a549+IFNG,IFI16,False,True,0
a549+IFNG_IFNGR1,0.025339633,0.024619833,1.0292367,0.9922331,0.6858203,0.818588187090428,0.3979548256843861,0.994066438668346,0.9942775977898627,0.9997876255866711,2148,1141,0.40930792689323425,0.9565063714981079,0.4279197156429291,0.5219980478286743,0.812881588935852,0.54,0.8976923076923078,0.9206834964481558,0.9523491214249376,0.9667499824755417,25.0,0.0,a549+IFNG_IFNGR1,a549+IFNG,IFNGR1,False,True,0
