,MSEPred_all,MSECtrl_all,NormMSE_all,Pearson_all,NormPearson_all,Spearman_all,NormSpearman_all,PredCosine_all,CtrlCosine_all,NormCosine_all,SameDirect_all,DiffDirect_all,MSEPred_degs,MSECtrl_degs,NormMSE_degs,Pearson_degs,NormPearson_degs,Spearman_degs,NormSpearman_degs,PredCosine_degs,CtrlCosine_degs,NormCosine_degs,SameDirect_degs,DiffDirect_degs,cov_pert,covariate,perturbation,cov_seen,pert_seen,split
a172+lapatinib_MAPK3,0.013333811,0.020346489,0.6553372,0.97435564,0.6687993,0.9556072733928673,0.6299139251277437,0.9887669676452995,0.9827884707489755,1.0060831980372824,3159,1424,0.095694326,0.1595011,0.59996027,0.8784757,0.7136576,0.7609022556390977,0.7669172932330827,0.9803522656792005,0.9692862523794185,1.0114166617679938,13,7,a172+lapatinib_MAPK3,a172+lapatinib,MAPK3,True,False,0
a172+nintedanib_PKN1,0.070004344,0.063174985,1.1081022,0.841956,0.4695784,0.7982187432825917,0.4964419365007898,0.9365911999560682,0.9409202160865593,0.9953991676908631,3089,1386,0.57759684,0.3865537,1.4942214,0.368923,-0.19244038,0.35639097744360904,-0.03909774436090225,0.8552381962781151,0.9063732228051555,0.943582814186874,9,11,a172+nintedanib_PKN1,a172+nintedanib,PKN1,False,True,0
a172+nintedanib_BMPR1A,0.07915898,0.113281645,0.69878024,0.8340088,0.63582355,0.7726602145661595,0.6331472612634157,0.9300912164141413,0.9002597214187795,1.0331365430282144,3247,1123,0.6433053,0.703261,0.91474617,0.69515824,0.32138065,0.5187969924812029,0.5082706766917292,0.9142893359118416,0.9062630459286511,1.0088564683501642,11,9,a172+nintedanib_BMPR1A,a172+nintedanib,BMPR1A,False,True,0
a172+nintedanib_ACVR1B,0.083512515,0.08028284,1.0402287,0.8285946,0.48769543,0.7713812477605693,0.5016426989692027,0.9248338264063523,0.9260702628593952,0.9986648567580334,2922,1497,0.5557406,0.6048401,0.91882235,0.47316992,0.32062018,0.22105263157894736,0.45714285714285713,0.8780247107749515,0.8700952340239461,1.0091133435064732,12,8,a172+nintedanib_ACVR1B,a172+nintedanib,ACVR1B,False,True,0
a172+nintedanib_SBK2,0.0796185,0.08006726,0.9943952,0.83737636,0.5284364,0.781530212333591,0.5465316382076673,0.9266158567230958,0.9227659218178391,1.0041721684928202,2988,1417,0.46336597,0.5895874,0.7859157,0.4638149,0.47822458,0.4466165413533834,0.5819548872180451,0.8915709997096234,0.8570625317092748,1.040263652561648,12,8,a172+nintedanib_SBK2,a172+nintedanib,SBK2,False,True,0
a172+lapatinib_HUNK,0.015614076,0.021099916,0.74000657,0.97243303,0.6089484,0.9539732955485845,0.5821792883227651,0.9869460924286526,0.9822066725953348,1.004825277577065,3069,1487,0.119405314,0.16686699,0.7155718,0.8000408,0.54647195,0.7819548872180451,0.6571428571428571,0.9719435954893109,0.9599772615430384,1.0124652264440495,13,7,a172+lapatinib_HUNK,a172+lapatinib,HUNK,True,False,0
a172+nintedanib_ROS1,0.083033405,0.091312625,0.9093311,0.8247516,0.5228093,0.7690753586111816,0.5325707053824188,0.9273001639968692,0.9192015050151386,1.0088105371211258,3061,1351,0.5903448,0.63318527,0.93234134,0.022031303,0.28480643,0.12932330827067667,0.34736842105263155,0.7980105449728683,0.7818558871930709,1.020661937889595,9,11,a172+nintedanib_ROS1,a172+nintedanib,ROS1,False,True,0
a172+nintedanib_BMPR2,0.087428,0.11234352,0.77822024,0.82170165,0.5753932,0.7703853485408848,0.5698042857065306,0.9243280276913177,0.901613688604904,1.0251929838394096,3119,1247,0.623428,0.7771049,0.8022443,0.32019338,0.4518347,0.19248120300751878,0.524812030075188,0.870467179309713,0.8445908457655464,1.030637714905271,12,8,a172+nintedanib_BMPR2,a172+nintedanib,BMPR2,False,True,0
a172+nintedanib_SRMS,0.08867864,0.111425176,0.7958582,0.81345785,0.5722764,0.7540593324774474,0.5663489254358596,0.9209685221917502,0.8997626545313876,1.023568290541473,3091,1274,0.59680855,0.7456487,0.8003884,0.34489813,0.48067415,0.27518796992481204,0.5112781954887218,0.8920993981062354,0.8697339525515713,1.0257152724566516,14,6,a172+nintedanib_SRMS,a172+nintedanib,SRMS,False,True,0
a172+lapatinib_LATS2,0.020992111,0.030571012,0.6866672,0.9610096,0.66123796,0.9327944905971195,0.6195603342905944,0.9826160703927267,0.9731971523119858,1.0096783247447496,3091,1429,0.14374398,0.18815221,0.7639771,0.738041,0.4931121,0.7293233082706766,0.6586466165413534,0.9598775632255098,0.9477035041512291,1.0128458521266985,12,8,a172+lapatinib_LATS2,a172+lapatinib,LATS2,True,False,0
a172+nintedanib_PEAK1,0.102293715,0.1338405,0.76429564,0.78336805,0.61783993,0.7363761099029502,0.6138338898217983,0.9053062963026919,0.8754435276726645,1.0341115876536509,3075,1190,0.98463565,0.8725025,1.1285189,-0.061853033,0.15929943,-0.23609022556390977,-0.06766917293233082,0.7564857626203516,0.787613984102693,0.9604778202131531,6,14,a172+nintedanib_PEAK1,a172+nintedanib,PEAK1,False,True,0
a172+trametinib_MAST3,0.052153055,0.08149285,0.63997096,0.90822506,0.64656675,0.8532112986481909,0.623608729502087,0.9566859847688781,0.9346017047979216,1.0236296166137762,3082,1285,0.5085906,0.68852895,0.7386626,0.113213524,0.6377845,-0.0631578947368421,0.7383458646616541,0.864959598799732,0.8176658644316912,1.057839927561256,15,5,a172+trametinib_MAST3,a172+trametinib,MAST3,True,False,0
a172+nintedanib_AURKC,0.08530867,0.110554434,0.77164406,0.8252646,0.63878614,0.7667065323503117,0.6293940124211622,0.9259850488088955,0.9045949177009478,1.0236460880880376,3186,1232,0.5266143,0.48575902,1.0841061,0.5201814,0.20960781,0.4360902255639097,0.3789473684210526,0.8675075141991565,0.8781548542336897,0.9878753274741908,9,11,a172+nintedanib_AURKC,a172+nintedanib,AURKC,False,True,0
